Frame	Median		Mean		Min		Max

1	7274336.000000	7272488.727273	7065248.000000	7464160.000000

2	7253280.000000	7329424.573003	7079616.000000	7533248.000000

3	7273568.000000	7348717.096697	7065088.000000	7638464.000000

4	7266432.000000	7344352.455522	7117504.000000	7499040.000000

5	7257728.000000	7342417.135914	7091456.000000	7508736.000000

6	7284000.000000	7361300.536726	7095552.000000	7533984.000000

7	7312704.000000	7391963.035725	7117728.000000	7687520.000000

8	7370496.000000	7453356.555916	7139424.000000	7620288.000000

9	7391776.000000	7453783.076322	6930560.000000	7623200.000000

10	7375456.000000	7457113.121983	7167424.000000	7673536.000000

