Frame	Median		Mean		Min		Max

1	7212384.000000	7200995.878788	6686272.000000	7534272.000000

2	7197216.000000	7261801.736149	6846400.000000	7422048.000000

3	7217312.000000	7279999.451880	6999168.000000	7449088.000000

4	7211872.000000	7280724.034867	7022304.000000	7474304.000000

5	7234720.000000	7306811.353888	7055520.000000	7396960.000000

6	7216416.000000	7293427.993474	7089440.000000	7531168.000000

7	7224864.000000	7303803.353469	7057696.000000	7482784.000000

8	7255488.000000	7326214.740944	7062912.000000	7507008.000000

9	7242528.000000	7306005.724656	6610624.000000	7512768.000000

10	7276608.000000	7348440.138633	7076000.000000	7658784.000000

